left_elbow_angle,right_elbow_angle,left_knee_angle,right_knee_angle,left_shoulder_angle,right_shoulder_angle,correct_posture
133.2601832177902,132.31231195430632,175.1190268008434,178.28545489389683,122.6797757551691,125.01119905785292,1
129.8111865729734,127.883797855891,172.29472188735818,181.6745168835901,126.55662517751456,130.50794290444867,1
135.33469373001054,133.0678325801731,174.0183190897611,170.8159302568289,131.0225810090353,126.75978913823202,1
130.13808577182036,135.48568822644486,174.77589697266546,176.48183360130923,125.9115820545995,124.98577259469003,1
128.04282359432213,128.35237351445576,172.71223740089252,169.85401854573706,126.88801633865985,123.47263031112224,1
131.76732572614262,131.47137687930896,173.37767460057583,175.79377398780923,123.81853578333411,118.24720985168155,1
128.39031648833054,129.00231879187533,170.9257058246647,179.09484448359422,124.09688813987759,122.96071526200862,1
127.1404833182832,127.87457913369268,172.6119989793364,176.39348276803696,123.32966023819316,126.56018242583816,1
129.74157009717817,128.0602988928264,175.0305097924706,177.10977154698463,122.3997312537737,121.59472227002303,1
129.89082856305012,129.20194055857866,176.79069040445597,178.2864669194826,130.2867983789156,122.23814616724395,1
126.61378154547255,126.4657359884818,172.5552385602868,180.50462959338577,123.62090951811201,125.5093234589756,1
133.39633366126048,133.47744706547053,174.8422471355061,175.39484947182984,127.40817365696478,127.09113648064667,1
127.55794373257989,129.6082742686276,176.30648461115425,169.67495491098052,125.81655356962698,119.29650492989522,1
132.61495426212937,130.6858935996038,174.90143583287553,176.12018181437526,125.25732342528829,125.6889154229504,1
132.91324713660885,133.99553302393997,176.5819373939561,168.7542928676194,120.60519137221499,122.978969606012,1
131.73527510472667,124.70864349767491,176.19397537891743,177.23881715036669,121.40663805725636,120.95283829738302,1
132.0527275844514,135.3994555140979,179.14756826485134,177.4745600808883,127.26345387643188,127.36082562298114,1
132.03097939055365,131.52856117839747,172.823879856662,175.77699196856312,123.41352888013564,127.62886561038547,1
131.76363592718363,130.29127167601413,174.73321429438096,176.34770154184136,126.62880744862173,119.92235227129561,1
132.15398502074694,133.47423685221264,175.77234490125088,178.6870205473726,129.09108178272606,122.21893764791844,1
131.25506500517653,132.7477399247934,175.13017404773112,176.31608786546516,123.75191474592201,121.47932667406634,1
125.58544140736782,122.9213353888315,174.15043128642475,181.9434326393524,126.2785029941684,128.8922417338267,1
127.76476239604057,130.42399744633735,167.59503620485265,177.7548513919437,120.14804271566278,126.98827044596854,1
131.25933000822045,131.03921782590407,174.15439830209024,173.74657483441126,122.80757015585117,125.45316618871587,1
133.89369659646897,130.08814629394107,175.38310743868843,170.97954485390596,124.85550852925049,122.66081702540373,1
130.60165416893994,129.202863457779,177.56044738484889,173.22217050782567,124.23688490521202,120.96995836824958,1
130.8548867671482,131.3704424622764,178.804148489999,175.58791674719274,123.79688541273816,121.57417829363229,1
131.07805938177833,132.30443583458458,167.81962466989646,172.83515210541907,121.34950675364762,124.87046214964715,1
131.72860347684485,131.97398409642892,176.2528162254925,174.88010160595815,125.99764794241614,126.66874120408198,1
129.59939149739026,124.85540958035992,173.7284078941324,174.71439756460603,128.53701427511297,121.25588809563003,1
126.36974030598829,131.09748336020067,174.7536558031993,177.21777856978252,126.41276325007112,121.31377150250154,1
128.47625684812172,130.7400903337164,179.15913364972934,177.35046177836597,127.56076862228379,124.14222425323162,1
130.9637401784495,129.64875296975316,175.77429924730097,177.79683626462258,124.73794597378227,127.38042123555381,1
132.46650352338486,127.5067723732073,173.88859421464326,172.3307385996732,124.83126431985654,125.0211817973177,1
